"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
150	"2022-03-12 02:36:46"	41	0
151	"2022-03-12 02:36:56"	41	0
152	"2022-03-12 02:37:06"	41	0
153	"2022-03-12 02:37:16"	41	0
154	"2022-03-12 02:37:26"	41	0
155	"2022-03-12 02:37:36"	41	0
156	"2022-03-12 02:37:46"	41	0
157	"2022-03-12 02:37:56"	41	0
158	"2022-03-12 02:38:06"	41	0
159	"2022-03-12 02:38:16"	41	0
160	"2022-03-12 02:38:26"	41	0
161	"2022-03-12 02:38:36"	41	0
162	"2022-03-12 02:38:46"	41	0
163	"2022-03-12 02:38:56"	41	0
164	"2022-03-12 02:39:06"	41	0
165	"2022-03-12 02:39:16"	41	0
166	"2022-03-12 02:39:26"	41	0
167	"2022-03-12 02:39:36"	40	0
168	"2022-03-12 02:39:46"	40	0
169	"2022-03-12 02:39:56"	40	0
170	"2022-03-12 02:40:06"	40	0
171	"2022-03-12 02:40:16"	40	0
172	"2022-03-12 02:40:26"	40	0
173	"2022-03-12 02:40:36"	40	0
174	"2022-03-12 02:40:46"	40	0
175	"2022-03-12 02:40:56"	40	0
176	"2022-03-12 02:41:06"	40	0
177	"2022-03-12 02:41:16"	40	0
178	"2022-03-12 02:41:26"	40	0
179	"2022-03-12 02:41:36"	40	0
180	"2022-03-12 02:41:46"	40	0
181	"2022-03-12 02:41:56"	40	0
182	"2022-03-12 02:42:06"	40	0
183	"2022-03-12 02:42:16"	40	0
184	"2022-03-12 02:42:26"	40	0
185	"2022-03-12 02:42:36"	40	0
186	"2022-03-12 02:42:46"	40	0
187	"2022-03-12 02:42:56"	40	0
188	"2022-03-12 02:43:06"	40	0
189	"2022-03-12 02:43:16"	40	0
190	"2022-03-12 02:43:26"	40	0
191	"2022-03-12 02:43:36"	40	0
192	"2022-03-12 02:43:46"	40	0
193	"2022-03-12 02:43:56"	40	0
194	"2022-03-12 02:44:06"	40	0
195	"2022-03-12 02:44:16"	40	0
196	"2022-03-12 02:44:26"	40	0
197	"2022-03-12 02:44:36"	39	0
198	"2022-03-12 02:44:46"	39	0
199	"2022-03-12 02:44:56"	39	0
200	"2022-03-12 02:45:06"	39	0
201	"2022-03-12 02:45:16"	39	0
202	"2022-03-12 02:45:26"	39	0
203	"2022-03-12 02:45:36"	39	0
204	"2022-03-12 02:45:46"	39	0
205	"2022-03-12 02:45:56"	39	0
206	"2022-03-12 02:46:06"	39	0
207	"2022-03-12 02:46:16"	39	0
208	"2022-03-12 02:46:26"	39	0
209	"2022-03-12 02:46:36"	39	0
210	"2022-03-12 02:46:46"	39	0
211	"2022-03-12 02:46:56"	39	0
212	"2022-03-12 02:47:06"	39	0
213	"2022-03-12 02:47:16"	39	0
214	"2022-03-12 02:47:26"	39	0
215	"2022-03-12 02:47:36"	39	0
216	"2022-03-12 02:47:46"	39	0
217	"2022-03-12 02:47:56"	39	0
218	"2022-03-12 02:48:06"	39	0
219	"2022-03-12 02:48:16"	39	0
220	"2022-03-12 02:48:26"	39	0
221	"2022-03-12 02:48:36"	39	0
222	"2022-03-12 02:48:46"	39	0
223	"2022-03-12 02:48:56"	39	0
224	"2022-03-12 02:49:06"	39	0
225	"2022-03-12 02:49:16"	39	0
226	"2022-03-12 02:49:26"	39	0
227	"2022-03-12 02:49:36"	39	0
228	"2022-03-12 02:49:46"	40	0
229	"2022-03-12 02:49:56"	40	0
230	"2022-03-12 02:50:06"	40	0
231	"2022-03-12 02:50:16"	40	0
232	"2022-03-12 02:50:26"	40	0
233	"2022-03-12 02:50:36"	40	0
234	"2022-03-12 02:50:46"	40	0
235	"2022-03-12 02:50:56"	40	0
236	"2022-03-12 02:51:06"	40	0
237	"2022-03-12 02:51:16"	40	0
238	"2022-03-12 02:51:26"	40	0
239	"2022-03-12 02:51:36"	40	0
240	"2022-03-12 02:51:46"	40	0
241	"2022-03-12 02:51:56"	39	0
242	"2022-03-12 02:52:06"	38	0
243	"2022-03-12 02:52:16"	40	0
244	"2022-03-12 02:52:26"	40	0
245	"2022-03-12 02:52:36"	40	0
246	"2022-03-12 02:52:46"	38	0
247	"2022-03-12 02:52:56"	38	0
