"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
1537	"2023-08-19 06:55:31"	99	13
1538	"2023-08-19 06:56:01"	99	13
1539	"2023-08-19 06:56:31"	99	13
1540	"2023-08-19 06:57:01"	99	13
1541	"2023-08-19 06:57:31"	99	13
1542	"2023-08-19 06:58:01"	99	13
1543	"2023-08-19 06:58:31"	99	13
1544	"2023-08-19 06:59:01"	99	13
1545	"2023-08-19 06:59:31"	99	13
1546	"2023-08-19 07:00:01"	99	13
1547	"2023-08-19 07:00:31"	99	13
1548	"2023-08-19 07:01:01"	99	13
1549	"2023-08-19 07:01:31"	99	13
1550	"2023-08-19 07:02:01"	99	13
1551	"2023-08-19 07:02:31"	99	13
1552	"2023-08-19 07:03:01"	99	13
1553	"2023-08-19 07:03:31"	99	13
1554	"2023-08-19 07:04:01"	99	13
1555	"2023-08-19 07:04:31"	99	13
1556	"2023-08-19 07:05:01"	99	13
1557	"2023-08-19 07:05:31"	99	13
1558	"2023-08-19 07:06:01"	99	13
1559	"2023-08-19 07:06:31"	98	12
1560	"2023-08-19 07:07:01"	99	13
1561	"2023-08-19 07:07:31"	99	13
1562	"2023-08-19 07:08:01"	99	13
1563	"2023-08-19 07:08:31"	98	12
1564	"2023-08-19 07:09:01"	99	13
1565	"2023-08-19 07:09:31"	99	13
1566	"2023-08-19 07:10:01"	99	13
1567	"2023-08-19 07:10:31"	99	13
1568	"2023-08-19 07:11:01"	99	13
1569	"2023-08-19 07:11:31"	98	12
1570	"2023-08-19 07:12:01"	98	12
1571	"2023-08-19 07:12:31"	99	13
1572	"2023-08-19 07:13:01"	98	12
1573	"2023-08-19 07:13:31"	98	12
1574	"2023-08-19 07:14:01"	99	13
1575	"2023-08-19 07:14:31"	98	12
1576	"2023-08-19 07:15:01"	98	12
1577	"2023-08-19 07:15:31"	98	12
1578	"2023-08-19 07:16:01"	98	12
1579	"2023-08-19 07:16:31"	98	12
1580	"2023-08-19 07:17:01"	98	12
1581	"2023-08-19 07:17:31"	98	12
1582	"2023-08-19 07:18:01"	98	12
1583	"2023-08-19 07:18:31"	98	12
1584	"2023-08-19 07:19:01"	98	12
1585	"2023-08-19 07:19:31"	98	12
1586	"2023-08-19 07:20:01"	98	12
1587	"2023-08-19 07:20:31"	98	12
1588	"2023-08-19 07:21:01"	98	12
1589	"2023-08-19 07:21:31"	98	12
1590	"2023-08-19 07:22:01"	98	12
1591	"2023-08-19 07:22:31"	98	12
1592	"2023-08-19 07:23:01"	98	12
1593	"2023-08-19 07:23:31"	98	12
1594	"2023-08-19 07:24:01"	98	12
1595	"2023-08-19 07:24:31"	98	12
1596	"2023-08-19 07:25:01"	98	12
1597	"2023-08-19 07:25:31"	98	12
1598	"2023-08-19 07:26:01"	98	12
1599	"2023-08-19 07:26:31"	98	12
1600	"2023-08-19 07:27:01"	98	12
1601	"2023-08-19 07:27:31"	98	12
1602	"2023-08-19 07:28:01"	98	12
1603	"2023-08-19 07:28:31"	98	12
1604	"2023-08-19 07:29:01"	98	12
1605	"2023-08-19 07:29:31"	98	12
1606	"2023-08-19 07:30:01"	98	12
1607	"2023-08-19 07:30:31"	98	12
1608	"2023-08-19 07:31:01"	98	12
1609	"2023-08-19 07:31:31"	98	12
1610	"2023-08-19 07:32:01"	98	12
1611	"2023-08-19 07:32:31"	98	12
1612	"2023-08-19 07:33:01"	98	12
1613	"2023-08-19 07:33:31"	98	12
1614	"2023-08-19 07:34:01"	98	12
1615	"2023-08-19 07:34:31"	98	12
1616	"2023-08-19 07:35:01"	98	12
1617	"2023-08-19 07:35:31"	98	12
1618	"2023-08-19 07:36:01"	98	12
1619	"2023-08-19 07:36:31"	98	12
1620	"2023-08-19 07:37:01"	98	12
1621	"2023-08-19 07:37:31"	98	12
1622	"2023-08-19 07:38:01"	98	12
1623	"2023-08-19 07:38:31"	98	12
1624	"2023-08-19 07:39:01"	98	12
1625	"2023-08-19 07:39:31"	98	12
1626	"2023-08-19 07:40:01"	98	12
1627	"2023-08-19 07:40:31"	98	12
1628	"2023-08-19 07:41:01"	97	11
1629	"2023-08-19 07:41:31"	97	11
1630	"2023-08-19 07:42:01"	98	12
1631	"2023-08-19 07:42:31"	97	11
1632	"2023-08-19 07:43:01"	97	11
1633	"2023-08-19 07:43:31"	97	11
1634	"2023-08-19 07:44:01"	97	11
1635	"2023-08-19 07:44:31"	97	11
1636	"2023-08-19 07:45:01"	97	11
1637	"2023-08-19 07:45:31"	97	11
1638	"2023-08-19 07:46:01"	97	11
1639	"2023-08-19 07:46:31"	97	11
1640	"2023-08-19 07:47:01"	97	11
1641	"2023-08-19 07:47:31"	97	11
1642	"2023-08-19 07:48:01"	97	11
1643	"2023-08-19 07:48:31"	97	11
1644	"2023-08-19 07:49:01"	97	11
1645	"2023-08-19 07:49:31"	97	11
1646	"2023-08-19 07:50:01"	97	11
1647	"2023-08-19 07:50:31"	97	11
1648	"2023-08-19 07:51:01"	97	11
1649	"2023-08-19 07:51:31"	97	11
1650	"2023-08-19 07:52:01"	97	11
1651	"2023-08-19 07:52:31"	97	11
1652	"2023-08-19 07:53:01"	97	11
1653	"2023-08-19 07:53:31"	97	11
1654	"2023-08-19 07:54:01"	97	11
1655	"2023-08-19 07:54:31"	97	11
1656	"2023-08-19 07:55:01"	97	11
1657	"2023-08-19 07:55:31"	97	11
1658	"2023-08-19 07:56:01"	97	11
1659	"2023-08-19 07:56:31"	97	11
1660	"2023-08-19 07:57:01"	97	11
1661	"2023-08-19 07:57:31"	97	11
1662	"2023-08-19 07:58:01"	97	11
1663	"2023-08-19 07:58:31"	97	11
1664	"2023-08-19 07:59:01"	97	11
1665	"2023-08-19 07:59:31"	97	11
1666	"2023-08-19 08:00:00"	97	11
1667	"2023-08-19 08:00:30"	97	11
1668	"2023-08-19 08:01:00"	97	11
1669	"2023-08-19 08:01:30"	97	11
1670	"2023-08-19 08:02:00"	97	11
1671	"2023-08-19 08:02:30"	97	11
1672	"2023-08-19 08:03:00"	97	11
1673	"2023-08-19 08:03:30"	97	11
1674	"2023-08-19 08:04:00"	97	11
1675	"2023-08-19 08:04:30"	97	11
1676	"2023-08-19 08:05:00"	97	11
1677	"2023-08-19 08:05:30"	97	11
1678	"2023-08-19 08:06:00"	97	11
1679	"2023-08-19 08:06:30"	97	11
1680	"2023-08-19 08:07:00"	97	11
1681	"2023-08-19 08:07:30"	97	11
1682	"2023-08-19 08:08:00"	97	11
1683	"2023-08-19 08:08:30"	97	11
1684	"2023-08-19 08:09:00"	97	11
1685	"2023-08-19 08:09:30"	97	11
1686	"2023-08-19 08:10:00"	97	11
1687	"2023-08-19 08:10:30"	97	11
1688	"2023-08-19 08:11:00"	97	11
1689	"2023-08-19 08:11:30"	97	11
1690	"2023-08-19 08:12:00"	97	11
1691	"2023-08-19 08:12:30"	96	11
1692	"2023-08-19 08:13:00"	97	11
1693	"2023-08-19 08:13:30"	97	11
1694	"2023-08-19 08:14:00"	97	11
