"date Y-m-d m:s";gas adc;LPG PPM;Theoretical Warmup;Warmup End;Curve: Power-law (3)
2025-07-02 18:19:30;301.32;4.342514402415727;301;;
2025-07-02 18:20:00;295.98;4.390782565945388;295.0993840877915;;
2025-07-02 18:20:30;283.89;4.315116399747107;289.32988751714674;;
2025-07-02 18:21:00;275.66;4.315116399747107;283.69003703703703;;
2025-07-02 18:21:30;262.02;4.315116399747107;278.1783593964335;;
2025-07-02 18:22:00;255.46;4.315116399747107;272.79338134430725;;255.46
2025-07-02 18:22:30;250.36;4.315116399747107;267.5336296296297;;
2025-07-02 18:23:00;241.58;4.315116399747107;262.3976310013718;;
2025-07-02 18:23:30;233.47;4.315116399747107;257.3839122085048;;
2025-07-02 18:24:00;232.86;4.315116399747107;252.491;;
2025-07-02 18:24:30;228.21;4.315116399747107;247.7174211248285;;
2025-07-02 18:25:00;226.36;4.315116399747107;243.0617023319616;;
2025-07-02 18:25:30;223.83;4.315116399747107;238.5223703703704;;
2025-07-02 18:26:00;219.02;4.315116399747107;234.09795198902611;;
2025-07-02 18:26:31;214.13;4.315116399747107;229.78697393689987;;
2025-07-02 18:27:01;208.32;4.315116399747107;225.587962962963;;
2025-07-02 18:27:31;206.22;4.315116399747107;221.49944581618655;;
2025-07-02 18:28:01;201.02;4.315116399747107;217.51994924554185;;
2025-07-02 18:28:31;198.67;4.315116399747107;213.64800000000002;;
2025-07-02 18:29:01;197.39;4.315116399747107;209.88212482853223;;
2025-07-02 18:29:31;196.22;4.315116399747107;206.22085048010973;;
2025-07-02 18:30:01;193.07;4.315116399747107;202.6627037037037;;
2025-07-02 18:30:31;191.19;4.315116399747107;199.2062112482853;;
2025-07-02 18:31:01;193.24;4.315116399747107;195.8498998628258;;
2025-07-02 18:31:31;193.07;4.356057796239821;192.5922962962963;;
2025-07-02 18:32:01;193.86;4.704234754991781;189.43192729766804;;
2025-07-02 18:32:31;192.17;4.829467148280408;186.3673196159122;;
2025-07-02 18:33:01;188.08;4.72729910264959;183.397;;
2025-07-02 18:33:31;184.57;4.67020838728672;180.5194951989026;;
2025-07-02 18:34:01;183.05;4.784946121240333;177.73333196159123;;
2025-07-02 18:34:31;182.36;4.97046233291678;175.03703703703707;;
2025-07-02 18:35:01;180.25;5.017212266235267;172.42913717421123;;
2025-07-02 18:35:31;181.21;5.352061047541366;169.90815912208504;;
2025-07-02 18:36:01;179.63;5.436526355605662;167.47262962962964;;
2025-07-02 18:36:31;178.39;5.547563072826441;165.1210754458162;;
2025-07-02 18:37:01;175.28;5.463423015183266;162.8520233196159;;
2025-07-02 18:37:31;172.86;5.440360605616997;160.664;;
2025-07-02 18:38:01;171.74;5.539074833347267;158.55553223593967;;
2025-07-02 18:38:31;170.88;5.657462777720976;156.52514677640602;;
2025-07-02 18:39:01;170.75;5.845229036934786;154.57137037037037;;
2025-07-02 18:39:31;171.91;6.167087928039316;152.69272976680384;;
2025-07-02 18:40:01;176.14;6.840602470497705;150.88775171467765;;
2025-07-02 18:40:31;185.69;8.228039987296919;149.15496296296297;;
2025-07-02 18:41:01;192.47;9.382190865071877;147.492890260631;;
2025-07-02 18:41:31;198.33;10.488987056871819;145.90006035665294;;
2025-07-02 18:42:01;202.75;11.434016699882857;144.375;;
2025-07-02 18:42:31;206.21;12.259397988681883;142.91623593964334;;
2025-07-02 18:43:02;207.88;12.794091611364951;141.5222949245542;;
2025-07-02 18:43:32;208.50;13.14290389189398;140.1917037037037;;
2025-07-02 18:44:02;211.61;13.950278200910606;138.9229890260631;;
2025-07-02 18:44:32;213.47;14.536554163296387;137.71467764060355;;
2025-07-02 18:45:02;212.91;14.651142264043555;136.5652962962963;;
2025-07-02 18:45:32;211.66;14.62034619582619;135.47337174211248;;
2025-07-02 18:46:02;210.58;14.611770899006602;134.43743072702333;;
2025-07-02 18:46:32;208.69;14.435731052970318;133.45600000000002;;
2025-07-02 18:47:02;206.64;14.220500913092632;132.5276063100137;;
2025-07-02 18:47:32;205.07;14.088630896556356;131.65077640603567;;
2025-07-02 18:48:02;203.42;13.933142160127293;130.82403703703704;;
2025-07-02 18:48:32;201.74;13.764205402241526;130.04591495198903;;
2025-07-02 18:49:02;200.19;13.61205010794841;129.31493689986283;;
2025-07-02 18:49:32;198.49;13.425198115172048;128.62962962962962;;
2025-07-02 18:50:02;196.77;13.228519266008522;127.98851989026063;;
2025-07-02 18:50:32;194.67;12.958172857869785;127.39013443072702;;
2025-07-02 18:51:02;192.21;12.621202089189223;126.833;;
2025-07-02 18:51:32;189.86;12.302529721358823;126.31564334705075;;
2025-07-02 18:52:02;188.02;12.069557699556041;125.83659122085048;;
2025-07-02 18:52:32;186.13;11.825126733516981;125.39437037037037;;
2025-07-02 18:53:02;184.33;11.593203246252763;124.98750754458162;;
2025-07-02 18:53:32;182.46;11.347537773678827;124.61452949245542;;
2025-07-02 18:54:02;180.80;11.134036610829856;124.27396296296295;;
2025-07-02 18:54:32;179.41;10.961307881711955;123.96433470507544;;
2025-07-02 18:55:02;178.16;10.807841189497411;123.68417146776406;;
2025-07-02 18:55:32;176.75;10.626581889133359;123.432;;
2025-07-02 18:56:02;175.55;10.475683853664473;123.20634705075446;;
2025-07-02 18:56:32;174.44;10.336185849828507;123.00573936899863;;
2025-07-02 18:57:02;173.42;10.2080262979124;122.82870370370371;;
2025-07-02 18:57:32;172.36;10.0716482430482;122.67376680384088;;
2025-07-02 18:58:02;171.16;9.912679128191176;122.53945541838135;;
2025-07-02 18:58:32;170.13;9.777593942087675;122.42429629629629;;
