"count"	"date Y-m-d m:s"	"VOCIndex "	"VOCRaw " 
1	"2023-09-18 20:19:39"	0	25657
2	"2023-09-18 20:19:59"	0	29092
3	"2023-09-18 20:20:19"	0	29164
4	"2023-09-18 20:20:39"	0	29217
5	"2023-09-18 20:20:59"	0	29257
6	"2023-09-18 20:21:19"	0	29257
7	"2023-09-18 20:21:39"	0	29284
8	"2023-09-18 20:21:59"	0	29296
9	"2023-09-18 20:22:19"	0	29341
10	"2023-09-18 20:22:39"	0	29345
11	"2023-09-18 20:22:59"	0	29357
12	"2023-09-18 20:23:19"	0	29348
13	"2023-09-18 20:23:39"	0	29372
14	"2023-09-18 20:23:59"	0	29409
15	"2023-09-18 20:24:19"	0	29433
16	"2023-09-18 20:24:39"	0	29469
17	"2023-09-18 20:24:59"	0	29444
18	"2023-09-18 20:25:19"	0	29440
19	"2023-09-18 20:25:39"	0	29465
20	"2023-09-18 20:25:59"	0	29453
21	"2023-09-18 20:26:19"	0	29457
22	"2023-09-18 20:26:39"	0	29412
23	"2023-09-18 20:26:59"	0	29156
24	"2023-09-18 20:27:19"	0	29105
25	"2023-09-18 20:27:39"	0	29129
26	"2023-09-18 20:27:59"	0	29149
27	"2023-09-18 20:28:19"	0	29180
28	"2023-09-18 20:28:39"	0	29232
29	"2023-09-18 20:28:59"	0	29301
30	"2023-09-18 20:29:19"	0	29321
31	"2023-09-18 20:29:39"	0	29345
32	"2023-09-18 20:29:59"	0	29404
33	"2023-09-18 20:30:19"	0	29408
34	"2023-09-18 20:30:39"	0	29449
35	"2023-09-18 20:30:59"	0	29509
36	"2023-09-18 20:31:19"	0	29545
37	"2023-09-18 20:31:39"	0	29548
38	"2023-09-18 20:31:59"	0	29560
39	"2023-09-18 20:32:19"	0	29605
40	"2023-09-18 20:32:39"	0	29589
41	"2023-09-18 20:32:59"	0	29617
42	"2023-09-18 20:33:19"	0	29620
43	"2023-09-18 20:33:39"	0	29644
44	"2023-09-18 20:33:59"	0	29645
45	"2023-09-18 20:34:19"	0	29661
46	"2023-09-18 20:34:39"	0	29681
47	"2023-09-18 20:34:59"	1	29696
48	"2023-09-18 20:35:19"	1	29720
49	"2023-09-18 20:35:39"	1	29729
50	"2023-09-18 20:35:59"	2	29709
51	"2023-09-18 20:36:19"	5	29697
52	"2023-09-18 20:36:39"	8	29744
53	"2023-09-18 20:36:59"	11	29732
54	"2023-09-18 20:37:19"	14	29721
55	"2023-09-18 20:37:39"	17	29745
56	"2023-09-18 20:37:59"	20	29737
57	"2023-09-18 20:38:19"	23	29732
58	"2023-09-18 20:38:39"	26	29760
59	"2023-09-18 20:38:59"	29	29713
60	"2023-09-18 20:39:19"	32	29729
61	"2023-09-18 20:39:39"	35	29741
62	"2023-09-18 20:39:59"	38	29708
63	"2023-09-18 20:40:19"	40	29728
64	"2023-09-18 20:40:39"	43	29741
65	"2023-09-18 20:40:59"	45	29733
66	"2023-09-18 20:41:19"	47	29753
67	"2023-09-18 20:41:39"	49	29748
68	"2023-09-18 20:41:59"	51	29748
69	"2023-09-18 20:42:19"	52	29761
70	"2023-09-18 20:42:39"	54	29749
71	"2023-09-18 20:42:59"	56	29725
72	"2023-09-18 20:43:19"	58	29732
73	"2023-09-18 20:43:39"	59	29752
74	"2023-09-18 20:43:59"	60	29773
75	"2023-09-18 20:44:19"	61	29777
76	"2023-09-18 20:44:39"	62	29777
77	"2023-09-18 20:44:59"	63	29768
78	"2023-09-18 20:45:19"	64	29768
79	"2023-09-18 20:45:39"	65	29761
80	"2023-09-18 20:45:59"	67	29781
81	"2023-09-18 20:46:19"	67	29773
82	"2023-09-18 20:46:39"	68	29764
83	"2023-09-18 20:46:59"	69	29796
84	"2023-09-18 20:47:19"	69	29825
85	"2023-09-18 20:47:39"	69	29797
86	"2023-09-18 20:47:59"	70	29769
87	"2023-09-18 20:48:19"	71	29772
88	"2023-09-18 20:48:39"	73	29736
89	"2023-09-18 20:48:59"	74	29773
90	"2023-09-18 20:49:19"	75	29765
91	"2023-09-18 20:49:39"	76	29777
