"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
148	"2023-09-18 21:11:28"	117	0
149	"2023-09-18 21:11:48"	117	0
150	"2023-09-18 21:12:08"	117	0
151	"2023-09-18 21:12:28"	117	0
152	"2023-09-18 21:12:48"	117	0
153	"2023-09-18 21:13:08"	117	0
154	"2023-09-18 21:13:28"	115	0
155	"2023-09-18 21:13:48"	114.50	0
156	"2023-09-18 21:14:08"	116	0
157	"2023-09-18 21:14:28"	116	0
158	"2023-09-18 21:14:48"	117	0
159	"2023-09-18 21:15:08"	115.21	0
160	"2023-09-18 21:15:28"	115	0
161	"2023-09-18 21:15:48"	115	0
162	"2023-09-18 21:16:08"	115	0
163	"2023-09-18 21:16:28"	115	0
164	"2023-09-18 21:16:48"	114.14	0
165	"2023-09-18 21:17:08"	115	0
166	"2023-09-18 21:17:28"	115	0
167	"2023-09-18 21:17:48"	115	0
168	"2023-09-18 21:18:08"	115.29	0
169	"2023-09-18 21:18:28"	115	0
170	"2023-09-18 21:18:48"	115	0
171	"2023-09-18 21:19:08"	115	0
172	"2023-09-18 21:19:28"	115.29	0
173	"2023-09-18 21:19:48"	115	0
174	"2023-09-18 21:20:08"	115.71	0
175	"2023-09-18 21:20:28"	116	0
176	"2023-09-18 21:20:48"	116	0
177	"2023-09-18 21:21:08"	116	0
178	"2023-09-18 21:21:28"	116	0
179	"2023-09-18 21:21:48"	116	0
180	"2023-09-18 21:22:08"	116	0
181	"2023-09-18 21:22:28"	115.50	0
182	"2023-09-18 21:22:48"	115	0
183	"2023-09-18 21:23:08"	115	0
184	"2023-09-18 21:23:28"	115	0
185	"2023-09-18 21:23:48"	115	0
186	"2023-09-18 21:24:08"	115	0
187	"2023-09-18 21:24:28"	115	0
188	"2023-09-18 21:24:48"	115	0
189	"2023-09-18 21:25:08"	115.29	0
190	"2023-09-18 21:25:28"	116	0
191	"2023-09-18 21:25:48"	116	0
192	"2023-09-18 21:26:08"	116	0
193	"2023-09-18 21:26:28"	116	0
194	"2023-09-18 21:26:48"	115.64	0
195	"2023-09-18 21:27:08"	115	0
196	"2023-09-18 21:27:27"	115.50	0
197	"2023-09-18 21:27:47"	115.21	0
198	"2023-09-18 21:28:07"	115	0
199	"2023-09-18 21:28:27"	115	0
200	"2023-09-18 21:28:47"	115	0
201	"2023-09-18 21:29:07"	115	0
202	"2023-09-18 21:29:27"	114.50	0
203	"2023-09-18 21:29:47"	114	0
204	"2023-09-18 21:30:07"	114.57	0
205	"2023-09-18 21:30:27"	114	0
206	"2023-09-18 21:30:47"	112	0
207	"2023-09-18 21:31:07"	112	0
208	"2023-09-18 21:31:27"	113	0
209	"2023-09-18 21:31:47"	113	0
210	"2023-09-18 21:32:07"	113	0
211	"2023-09-18 21:32:27"	113.36	0
212	"2023-09-18 21:32:47"	114	0
213	"2023-09-18 21:33:07"	114	0
214	"2023-09-18 21:33:27"	114	0
215	"2023-09-18 21:33:47"	114	0
216	"2023-09-18 21:34:07"	114	0
217	"2023-09-18 21:34:27"	114	0
218	"2023-09-18 21:34:47"	113.93	0
219	"2023-09-18 21:35:07"	112	0
220	"2023-09-18 21:35:27"	112	0
221	"2023-09-18 21:35:47"	113	0
222	"2023-09-18 21:36:07"	113	0
223	"2023-09-18 21:36:27"	113	0
224	"2023-09-18 21:36:47"	113	0
225	"2023-09-18 21:37:07"	113.64	0
226	"2023-09-18 21:37:27"	114	0
227	"2023-09-18 21:37:47"	114	0
228	"2023-09-18 21:38:07"	114	0
229	"2023-09-18 21:38:27"	114.07	0
230	"2023-09-18 21:38:47"	115	0
231	"2023-09-18 21:39:07"	115	0
